year,flat_type,resale_price
2012-03,4 ROOM,520000
2012-03,4 ROOM,525000
2012-03,4 ROOM,530000
2012-03,4 ROOM,535000
2012-03,4 ROOM,555000
2012-03,5 ROOM,585000
2012-03,4 ROOM,600000
2012-03,4 ROOM,650000
2012-03,5 ROOM,650000
2012-03,5 ROOM,650000
2012-03,4 ROOM,677000
2012-03,5 ROOM,680000
2012-03,EXECUTIVE,800000
2012-03,2 ROOM,257000
2012-03,3 ROOM,267000
2012-03,3 ROOM,270000
2012-03,3 ROOM,272000
2012-03,3 ROOM,275000
2012-03,3 ROOM,276500
2012-03,3 ROOM,280000
2012-03,3 ROOM,285000
2012-03,3 ROOM,285000
2012-03,3 ROOM,289000
2012-03,3 ROOM,290000
2012-03,3 ROOM,293000
2012-03,3 ROOM,293000
2012-03,3 ROOM,295000
2012-03,3 ROOM,295000
2012-03,3 ROOM,297000
2012-03,3 ROOM,299000
2012-03,3 ROOM,300000
2012-03,3 ROOM,300000
2012-03,3 ROOM,306500
2012-03,3 ROOM,309000
2012-03,3 ROOM,310000
2012-03,3 ROOM,310000
2012-03,3 ROOM,313000
2012-03,3 ROOM,315000
2012-03,3 ROOM,320000
2012-03,3 ROOM,320000
2012-03,3 ROOM,321000
2012-03,3 ROOM,324000
2012-03,3 ROOM,330000
2012-03,3 ROOM,332000
2012-03,3 ROOM,335000
2012-03,3 ROOM,341000
2012-03,3 ROOM,342000
2012-03,3 ROOM,346000
2012-03,3 ROOM,346000
2012-03,3 ROOM,355000
2012-03,3 ROOM,358000
2012-03,3 ROOM,365000
2012-03,4 ROOM,372000
2012-03,4 ROOM,373000
2012-03,3 ROOM,378000
2012-03,3 ROOM,388888
2012-03,4 ROOM,390000
2012-03,4 ROOM,394000
2012-03,3 ROOM,403000
2012-03,4 ROOM,415000
2012-03,4 ROOM,415000
2012-03,4 ROOM,416000
2012-03,3 ROOM,418000
2012-03,4 ROOM,422000
2012-03,3 ROOM,423000
2012-03,4 ROOM,425500
2012-03,3 ROOM,443888
2012-03,4 ROOM,446000
2012-03,5 ROOM,478000
2012-03,4 ROOM,492000
2012-03,4 ROOM,495000
2012-03,4 ROOM,495000
2012-03,5 ROOM,500000
2012-03,4 ROOM,505000
2012-03,4 ROOM,505000
2012-03,5 ROOM,517000
2012-03,5 ROOM,531800
2012-03,5 ROOM,535000
2012-03,4 ROOM,538000
2012-03,4 ROOM,568000
2012-03,4 ROOM,575000
2012-03,4 ROOM,588000
2012-03,EXECUTIVE,593000
2012-03,EXECUTIVE,685000
2012-03,5 ROOM,700000
2012-03,EXECUTIVE,720000
2012-03,5 ROOM,730000
2012-03,3 ROOM,300000
2012-03,3 ROOM,306800
2012-03,3 ROOM,310000
2012-03,3 ROOM,313000
2012-03,3 ROOM,320000
2012-03,3 ROOM,320000
2012-03,3 ROOM,320000
2012-03,3 ROOM,323000
2012-03,3 ROOM,323000
2012-03,3 ROOM,325000
2012-03,3 ROOM,330000
2012-03,3 ROOM,333000
2012-03,3 ROOM,333000
2012-03,3 ROOM,336000
